UserID,Name,Gender,DOB,Interests,City,Occupation,Budget,Age,Age Range,Cluster,Cluster_tag,SubCluster,SubCluster_Description
19448,Rita Bays,Female,1954/4/24,"'Politics', 'Education and learning', 'Finance and investments'",Manchester,Chef,4161,71,66+,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
41332,Ryan Wood,Male,1956/6/30,'Nature',Stockport,Procurement Specialist,4849,69,66+,6,Nature & Music,6.1,"Avg Age: 60.0, Avg Budget: 3992.8"
14889,Aaron Beasley,Male,2003/3/10,"'Politics', 'Sports', 'Business and entrepreneurship'",Bolton,HR Manager,6725,22,18-25,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
88637,Kristine Jarrard,Male,1969/11/4,'Parenting and family',Manchester,Technical Writer,4557,56,56-65,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
94893,Jean Lollar,Male,1961/11/15,"'Nature', 'Finance and investments', 'Movies', 'Books', 'Fashion'",Preston,Market Research Analyst,6222,64,56-65,1,Fashion & Cooking,1.2,"Avg Age: 59.2, Avg Budget: 5916.1"
92732,Gregory Offield,Male,1954/7/28,"'Fashion', 'Health and wellness', 'Science'",Liverpool,Waiter,2712,71,66+,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
29131,David Davis,Male,1998/2/12,"'Education and learning', 'Business and entrepreneurship'",Stockport,Market Research Analyst,4418,27,26-35,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
79023,Linda Choate,Male,1961/2/27,"'History', 'Movies', 'Beauty', 'Movies'",Preston,Data Analyst,5553,64,56-65,5,History & Gardening,5.3,"Avg Age: 55.0, Avg Budget: 6758.3"
84937,Theresa Pope,Female,1959/2/12,'Fashion',Stockport,Sales Executive,3632,66,66+,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
16822,Kyle Hinojosa,Male,1995/9/2,"'Gaming', 'Parenting and family', 'Fashion', 'Health and wellness', 'Gardening'",Liverpool,Technical Writer,3682,30,26-35,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
36734,Elizabeth Godwin,Male,1963/5/5,"'Gaming', 'Art', 'Fashion', 'Parenting and family'",Bolton,Receptionist,3609,62,56-65,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
15603,Timothy Buggs,Female,2000/11/3,"'Cars and automobiles', 'Fashion', 'Travel'",Stockport,Taxi Driver,4094,25,26-35,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
28534,William Culverhouse,Male,1990/7/15,"'Beauty', 'Nature', 'Business and entrepreneurship'",Manchester,IT technician,4124,35,36-45,6,Nature & Music,6.2,"Avg Age: 31.9, Avg Budget: 3789.6"
69770,Franklin Mccrory,Male,1968/3/5,"'Cars and automobiles', 'Parenting and family'",Bolton,Business Consultant,8790,57,56-65,0,Sports & Parenting and family,0.2,"Avg Age: 45.9, Avg Budget: 6780.6"
11406,Joseph Mcray,Female,1975/10/7,"'Social causes and activism', 'Nature', 'Nature', 'Gardening', 'Sports'",Liverpool,Market Research Analyst,4184,50,46-55,6,Nature & Music,6.1,"Avg Age: 60.0, Avg Budget: 3992.8"
96853,Linda Gaddis,Female,1957/6/12,"'Beauty', 'Food and dining'",Liverpool,Receptionist,3778,68,66+,3,Pets & Food and dining,3.3,"Avg Age: 58.9, Avg Budget: 3927.2"
16131,Patricia Mackinder,Female,1994/2/8,"'Sports', 'Science', 'DIY and crafts', 'Education and learning', 'Finance and investments'",Bolton,Cleaner,3050,31,26-35,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
19793,Wanda Dighton,Male,1977/5/26,"'Photography', 'Science'",Preston,Procurement Specialist,5999,48,46-55,0,Sports & Parenting and family,0.2,"Avg Age: 45.9, Avg Budget: 6780.6"
89578,Matthew Lambert,Female,1971/2/2,'Gaming',Manchester,Delivery Driver,2712,54,46-55,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
40164,Anne Ober,Female,1972/1/20,"'Outdoor activities', 'Finance and investments', 'Fashion'",Liverpool,Waiter,2880,53,46-55,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
31777,Marion Clark,Male,1966/5/19,"'Sports', 'Gardening', 'History'",Liverpool,Chef,3127,59,56-65,5,History & Gardening,5.2,"Avg Age: 57.6, Avg Budget: 3697.9"
25331,Anne Aumick,Female,1979/5/18,"'History', 'Parenting and family', 'Pets'",Manchester,Waiter,2751,46,46-55,5,History & Gardening,5.2,"Avg Age: 57.6, Avg Budget: 3697.9"
79157,Samuel Alvarez,Female,2000/6/7,"'Gardening', 'Technology', 'Beauty', 'Photography', 'Health and wellness'",Liverpool,Construction Worker,2823,25,26-35,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
51686,James Canta,Female,1989/10/11,'Books',Manchester,Loan Officer,4597,36,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
75499,Murray Maclean,Female,1981/6/20,'Business and entrepreneurship',Bolton,Accountant,6026,44,36-45,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
4728,Amber Gantner,Male,1963/1/16,"'Fashion', 'Nature', 'Books'",Liverpool,HR Manager,6307,62,56-65,1,Fashion & Cooking,1.2,"Avg Age: 59.2, Avg Budget: 5916.1"
85199,Jonathan Eargle,Female,1973/8/3,"'Outdoor activities', 'Travel', 'Books', 'Fashion', 'Gaming'",Liverpool,Software Engineer,7583,52,46-55,1,Fashion & Cooking,1.2,"Avg Age: 59.2, Avg Budget: 5916.1"
35796,Edward Noyes,Female,1986/10/24,"'Books', 'Beauty', 'Fashion', 'Gardening', 'Art'",Stockport,Barista,2221,39,36-45,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
12257,Kenneth Wight,Male,1981/10/1,"'Business and entrepreneurship', 'Technology', 'Technology'",Preston,Accountant,4521,44,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
35719,Cynthia Eldreth,Female,1981/5/1,"'Books', 'Food and dining'",Liverpool,Public Relations Specialist,6872,44,36-45,3,Pets & Food and dining,3.1,"Avg Age: 47.4, Avg Budget: 6718.3"
70552,James Lutz,Female,1986/4/27,"'Movies', 'Pets', 'Travel', 'Nature'",Bolton,Business Consultant,11713,39,36-45,6,Nature & Music,6.3,"Avg Age: 42.3, Avg Budget: 6376.3"
54375,George Greer,Female,1986/7/13,"'Sports', 'Cars and automobiles', 'Science', 'Finance and investments', 'Fitness'",Stockport,Loan Officer,5182,39,36-45,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
39692,Karen Archibald,Male,1956/2/19,"'Food and dining', 'Travel', 'Politics', 'Nature', 'Politics'",Manchester,Technical Writer,6361,69,66+,6,Nature & Music,6.1,"Avg Age: 60.0, Avg Budget: 3992.8"
93703,Cecil Chambers,Male,1962/11/13,"'Politics', 'Fitness', 'Health and wellness'",Liverpool,Accountant,5147,63,56-65,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
73692,Jack Berry,Male,1980/11/25,"'Business and entrepreneurship', 'Education and learning', 'Cooking', 'Art'",Manchester,Receptionist,3187,45,46-55,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
98071,Daniel Johnson,Male,1990/9/2,"'Fitness', 'Outdoor activities'",Manchester,Corporate Trainer,7383,35,36-45,0,Sports & Parenting and family,0.2,"Avg Age: 45.9, Avg Budget: 6780.6"
576,Catherine Modglin,Female,1988/11/23,"'Business and entrepreneurship', 'Movies'",Preston,Software Engineer,7680,37,36-45,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
84611,Bradley Williams,Male,1964/3/17,"'Social causes and activism', 'Technology'",Manchester,Corporate Trainer,4123,61,56-65,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
61770,Sherri Turnbow,Female,1975/6/6,"'Beauty', 'DIY and crafts', 'Nature'",Bolton,Public Relations Specialist,6730,50,46-55,6,Nature & Music,6.3,"Avg Age: 42.3, Avg Budget: 6376.3"
32261,Herman Niles,Male,1985/12/18,"'Education and learning', 'Politics'",Preston,Business Consultant,11311,40,36-45,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
82200,Josephine Jeanlouis,Female,1970/10/22,"'Cars and automobiles', 'Parenting and family', 'Books', 'Business and entrepreneurship'",Manchester,Market Research Analyst,6453,55,56-65,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
36291,Austin Durbin,Male,1997/7/10,"'Music', 'Beauty', 'Fashion', 'Outdoor activities', 'Music'",Preston,Electrician,3933,28,26-35,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
78450,Elizabeth Decker,Female,1957/12/26,"'Pets', 'Education and learning', 'Technology'",Stockport,Sales Executive,4556,68,66+,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
60056,Carolyn Pieratt,Male,1967/5/15,"'Travel', 'Health and wellness'",Manchester,Cleaner,2549,58,56-65,7,Travel & Movies,7.1,"Avg Age: 58.8, Avg Budget: 3605.3"
45949,Robert Pruitt,Female,1984/6/11,"'Business and entrepreneurship', 'Fitness', 'Health and wellness'",Bolton,Electrician,3548,41,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
28178,Edmund Robinett,Female,1993/4/4,"'Music', 'Travel', 'Parenting and family'",Manchester,Quality Assurance Analyst,6000,32,26-35,7,Travel & Movies,7.2,"Avg Age: 32.8, Avg Budget: 5720.0"
84464,Charles Shields,Female,1997/4/3,"'Nature', 'Pets'",Manchester,Human Resources Coordinator,3473,28,26-35,6,Nature & Music,6.2,"Avg Age: 31.9, Avg Budget: 3789.6"
579,Bernice Adams,Female,1978/6/13,"'Music', 'Business and entrepreneurship', 'History', 'Health and wellness', 'Photography'",Preston,Financial Analyst,4854,47,46-55,5,History & Gardening,5.1,"Avg Age: 32.9, Avg Budget: 4371.4"
30960,David Kelm,Female,2002/10/2,'Art',Liverpool,Corporate Trainer,7756,23,18-25,4,Art & Sports,4.1,"Avg Age: 31.0, Avg Budget: 4577.4"
64291,Wade Hand,Male,1984/6/3,"'Gardening', 'Social causes and activism', 'Politics'",Manchester,HR Manager,6449,41,36-45,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
14532,James Chee,Male,1968/4/7,"'Social causes and activism', 'Photography', 'Beauty'",Bolton,Software Engineer,8620,57,56-65,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
17934,Bernadette Berry,Male,1975/2/20,"'Fashion', 'Beauty', 'Fashion', 'Photography'",Liverpool,Taxi Driver,2726,50,46-55,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
33609,Elizabeth Barden,Female,2001/2/16,"'Gaming', 'Movies', 'Fashion', 'Cars and automobiles', 'Sports'",Bolton,Accountant,4691,24,18-25,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
49960,Sarah Miles,Male,1971/5/21,"'Sports', 'Education and learning', 'Art'",Bolton,Mechanic,3321,54,46-55,4,Art & Sports,4.3,"Avg Age: 56.9, Avg Budget: 3703.1"
66599,Hugh Graham,Female,1986/9/10,"'Photography', 'Politics', 'Fashion', 'Cooking'",Preston,Sales Executive,5461,39,36-45,1,Fashion & Cooking,1.4,"Avg Age: 33.3, Avg Budget: 5915.2"
99090,Ramona Webb,Male,1954/5/22,"'Travel', 'Fitness', 'Health and wellness'",Bolton,Cleaner,3112,71,66+,7,Travel & Movies,7.1,"Avg Age: 58.8, Avg Budget: 3605.3"
34452,Karen Helm,Male,2003/11/18,"'Business and entrepreneurship', 'History', 'Movies'",Liverpool,Accountant,4764,22,18-25,5,History & Gardening,5.1,"Avg Age: 32.9, Avg Budget: 4371.4"
34081,Edward Coffey,Female,1987/2/23,"'Cars and automobiles', 'Nature', 'Finance and investments', 'Science', 'Sports'",Preston,Public Relations Specialist,6732,38,36-45,6,Nature & Music,6.3,"Avg Age: 42.3, Avg Budget: 6376.3"
63588,Allen Perez,Male,2003/1/27,"'Science', 'Fashion', 'Social causes and activism', 'History', 'Fitness'",Stockport,Electrician,3656,22,18-25,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
4294,Jeremy Adkins,Female,1980/1/8,"'Cooking', 'Gardening', 'Health and wellness', 'Outdoor activities'",Stockport,Corporate Trainer,7435,45,46-55,0,Sports & Parenting and family,0.2,"Avg Age: 45.9, Avg Budget: 6780.6"
69103,Edward Schaffert,Male,1954/4/11,'Music',Manchester,Compliance Officer,5666,71,66+,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
86412,Steven Age,Male,1992/8/7,'Education and learning',Preston,Sales Associate,2571,33,26-35,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
99477,Antonio Steinmetz,Female,1960/2/24,'Nature',Bolton,Event Coordinator,6140,65,66+,6,Nature & Music,6.1,"Avg Age: 60.0, Avg Budget: 3992.8"
53930,Coralie Slaughter,Male,1956/8/22,'Movies',Manchester,Marketing Specialist,4023,69,66+,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
87071,Kathleen Thaxton,Male,1974/10/30,'Food and dining',Liverpool,Mechanic,4278,51,46-55,3,Pets & Food and dining,3.3,"Avg Age: 58.9, Avg Budget: 3927.2"
65084,Reid Billingsley,Male,1989/9/7,'Food and dining',Liverpool,Sales Executive,5837,36,36-45,3,Pets & Food and dining,3.1,"Avg Age: 47.4, Avg Budget: 6718.3"
30713,Mary Slavens,Female,1962/12/7,"'Education and learning', 'Social causes and activism'",Liverpool,Receptionist,3003,63,56-65,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
49183,Maryanne Frisbie,Male,1993/4/22,"'Cooking', 'Parenting and family'",Manchester,Sales Executive,6253,32,26-35,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
57235,Sandra Anderson,Male,1982/12/22,"'Technology', 'Education and learning', 'Cooking'",Manchester,Sales Associate,3810,43,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
15664,Bernice Diaz,Male,1998/6/28,'Movies',Manchester,Cleaner,2601,27,26-35,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
19967,Samuel Kahle,Female,1955/5/1,"'Health and wellness', 'Travel'",Liverpool,Accountant,5505,70,66+,7,Travel & Movies,7.4,"Avg Age: 60.2, Avg Budget: 6508.0"
91913,Joseph Kinney,Female,1998/2/18,"'Nature', 'Business and entrepreneurship', 'History', 'Health and wellness'",Preston,Construction Worker,2810,27,26-35,5,History & Gardening,5.1,"Avg Age: 32.9, Avg Budget: 4371.4"
91958,Helen Gilder,Male,1985/5/7,"'Fitness', 'Art', 'Outdoor activities', 'Outdoor activities', 'Politics'",Manchester,Taxi Driver,4024,40,36-45,4,Art & Sports,4.1,"Avg Age: 31.0, Avg Budget: 4577.4"
81347,Willie Hiles,Male,1974/3/23,"'Gaming', 'Technology', 'Outdoor activities', 'Beauty'",Liverpool,Sales Executive,4618,51,46-55,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
55326,Joshua Mustafa,Female,1987/2/18,"'Art', 'Science', 'Fashion', 'Fashion', 'Technology'",Liverpool,Marketing Specialist,4947,38,36-45,1,Fashion & Cooking,1.4,"Avg Age: 33.3, Avg Budget: 5915.2"
29858,Justin Barnes,Female,1983/9/8,'Technology',Manchester,IT technician,3560,42,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
71223,Charles Richard,Male,1965/2/14,"'DIY and crafts', 'Finance and investments', 'Food and dining'",Stockport,Human Resources Coordinator,5729,60,56-65,3,Pets & Food and dining,3.1,"Avg Age: 47.4, Avg Budget: 6718.3"
52459,Joe Klein,Male,1968/9/12,"'Finance and investments', 'Pets', 'Cooking'",Manchester,Public Relations Specialist,6844,57,56-65,3,Pets & Food and dining,3.1,"Avg Age: 47.4, Avg Budget: 6718.3"
88346,Charles Nelson,Male,1979/10/15,"'Cars and automobiles', 'Business and entrepreneurship', 'Movies'",Manchester,Mechanic,4082,46,46-55,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
82364,Debra Hickman,Male,1979/3/13,'Art',Stockport,Chef,5390,46,46-55,4,Art & Sports,4.2,"Avg Age: 53.1, Avg Budget: 6977.6"
65350,Glenn Robbins,Male,1988/5/2,"'Health and wellness', 'Art', 'Cars and automobiles', 'Fashion', 'Nature'",Manchester,Electrician,4583,37,36-45,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
59650,Ronald Lusk,Male,1967/6/22,"'Outdoor activities', 'Cooking'",Bolton,Receptionist,3298,58,56-65,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
44953,Mary Melton,Male,1956/3/21,"'Fitness', 'Books', 'Education and learning'",Preston,Barista,2813,69,66+,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
39526,Thomas Hardy,Male,1999/7/11,"'Social causes and activism', 'Outdoor activities', 'Technology', 'Gaming'",Liverpool,Taxi Driver,4152,26,26-35,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
13936,Denis Medeiros,Female,1993/8/31,'Social causes and activism',Stockport,Office Administrator,4258,32,26-35,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
93781,Carlos Marks,Male,1964/6/4,"'History', 'DIY and crafts'",Stockport,Chef,4830,61,56-65,5,History & Gardening,5.2,"Avg Age: 57.6, Avg Budget: 3697.9"
89885,Mary Radford,Male,1988/5/2,"'Pets', 'Parenting and family'",Liverpool,Teacher,4172,37,36-45,3,Pets & Food and dining,3.2,"Avg Age: 31.9, Avg Budget: 4085.9"
81144,Adrienne Keehn,Female,1980/12/21,"'Outdoor activities', 'Photography', 'Art', 'Cars and automobiles', 'Gardening'",Liverpool,Financial Analyst,4824,45,46-55,4,Art & Sports,4.1,"Avg Age: 31.0, Avg Budget: 4577.4"
95800,Josie Hamm,Female,1984/3/28,'Science',Stockport,Waiter,2254,41,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
89405,Lawrence Orr,Male,1965/11/20,"'Education and learning', 'Photography', 'Fashion', 'Outdoor activities'",Preston,Public Relations Specialist,4708,60,56-65,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
55224,Larry Haven,Male,1999/1/9,"'Nature', 'Food and dining', 'Finance and investments'",Manchester,Electrician,4396,26,26-35,6,Nature & Music,6.2,"Avg Age: 31.9, Avg Budget: 3789.6"
73646,Roberta Sims,Male,1978/7/5,"'Photography', 'Gaming', 'Food and dining'",Manchester,Mechanic,3032,47,46-55,3,Pets & Food and dining,3.3,"Avg Age: 58.9, Avg Budget: 3927.2"
66294,Louis Randall,Female,1967/8/3,"'Fitness', 'History'",Bolton,Mechanic,3144,58,56-65,5,History & Gardening,5.2,"Avg Age: 57.6, Avg Budget: 3697.9"
65540,Jonathan Deal,Male,1965/12/2,"'Photography', 'Health and wellness'",Stockport,Chef,4623,60,56-65,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
28111,Steven Batchelor,Male,1988/4/25,"'Technology', 'Social causes and activism'",Liverpool,Loan Officer,5680,37,36-45,2,Business and entrepreneurship & Cooking,2.1,"Avg Age: 43.9, Avg Budget: 6743.3"
41929,Ann Speigel,Male,1978/12/28,"'Movies', 'Education and learning'",Preston,Electrician,3452,47,46-55,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
86547,John Tanner,Female,1962/6/9,"'Photography', 'Gaming', 'Movies', 'Music'",Preston,Market Research Analyst,3664,63,56-65,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
82586,Thomas Prechtel,Male,1975/11/19,"'Fashion', 'Social causes and activism'",Stockport,Marketing Specialist,4187,50,46-55,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
38604,Lelia Wall,Female,1978/2/16,"'Gardening', 'Business and entrepreneurship', 'Sports'",Bolton,Mechanic,4087,47,46-55,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
91658,Rachel Allen,Male,1955/6/18,"'Gardening', 'History', 'Parenting and family', 'Technology', 'Fashion'",Bolton,Software Engineer,7568,70,66+,1,Fashion & Cooking,1.2,"Avg Age: 59.2, Avg Budget: 5916.1"
62787,Larry Martins,Male,2002/5/26,"'Politics', 'History', 'Fashion', 'Business and entrepreneurship'",Manchester,Waiter,2668,23,18-25,1,Fashion & Cooking,1.1,"Avg Age: 32.7, Avg Budget: 3565.0"
84341,Julie Long,Male,1995/12/23,"'Technology', 'Parenting and family', 'Business and entrepreneurship'",Preston,Sales Associate,3165,30,26-35,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
39875,Mary Greenfield,Male,1997/7/6,"'Cars and automobiles', 'History', 'Fashion', 'Photography', 'Education and learning'",Preston,Market Research Analyst,6425,28,26-35,1,Fashion & Cooking,1.4,"Avg Age: 33.3, Avg Budget: 5915.2"
78469,Michael Lazarus,Male,1996/8/27,"'Science', 'Social causes and activism'",Stockport,Receptionist,3450,29,26-35,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
31632,Mary Maisano,Female,1990/12/11,"'Books', 'Books', 'Business and entrepreneurship', 'Science', 'DIY and crafts'",Liverpool,Cleaner,2450,35,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
14953,Daren Adger,Female,1988/3/27,"'Finance and investments', 'Music'",Stockport,Market Research Analyst,5644,37,36-45,0,Sports & Parenting and family,0.2,"Avg Age: 45.9, Avg Budget: 6780.6"
